nombre,dia,horario,proporcion_diaria,proporcion_total
Muñecas,martes,tarde,36.42732049036778,6.715092816787732
Muñecas,martes,tarde,36.42732049036778,6.715092816787732
La Bachata,martes,tarde,36.42732049036778,6.715092816787732
La Jumpa,martes,tarde,36.42732049036778,6.715092816787732
Éxtasis,martes,tarde,36.42732049036778,6.715092816787732
"Shakira: Bzrp Music Sessions, Vol. 53",martes,tarde,36.42732049036778,6.715092816787732
"Shakira: Bzrp Music Sessions, Vol. 53",martes,tarde,36.42732049036778,6.715092816787732
RON COLA,martes,tarde,36.42732049036778,6.715092816787732
LA NENA DE ARGENTINA,martes,tarde,36.42732049036778,6.715092816787732
CAIRO,martes,tarde,36.42732049036778,6.715092816787732
AUTOMÁTICO,martes,tarde,36.42732049036778,6.715092816787732
Por Deporte,martes,tarde,36.42732049036778,6.715092816787732
Te Felicito,martes,tarde,36.42732049036778,6.715092816787732
Joga Essa Rabeta,martes,tarde,36.42732049036778,6.715092816787732
Monotonía,martes,tarde,36.42732049036778,6.715092816787732
ARRANCARMELO,martes,tarde,36.42732049036778,6.715092816787732
TIERRA ZANTA,martes,tarde,36.42732049036778,6.715092816787732
Graduados - Tan Biónica,martes,tarde,36.42732049036778,6.715092816787732
Toco Y Me Voy,martes,tarde,36.42732049036778,6.715092816787732
ARGENTINA,martes,tarde,36.42732049036778,6.715092816787732
En La Ciudad De La Furia - Remasterizado 2007,martes,tarde,36.42732049036778,6.715092816787732
BUENOS AIRES,martes,tarde,36.42732049036778,6.715092816787732
Mil Horas,martes,tarde,36.42732049036778,6.715092816787732
Hablando a Tu Corazón,martes,tarde,36.42732049036778,6.715092816787732
Cabildo y Juramento,martes,tarde,36.42732049036778,6.715092816787732
Por Mil Noches,martes,tarde,36.42732049036778,6.715092816787732
Corazón Delator,martes,tarde,36.42732049036778,6.715092816787732
Graduados - Tan Biónica,martes,noche,31.961471103327494,5.89184826472962
ARRANCARMELO,martes,noche,31.961471103327494,5.89184826472962
Hablando a Tu Corazón,martes,noche,31.961471103327494,5.89184826472962
Por Mil Noches,martes,noche,31.961471103327494,5.89184826472962
Toco Y Me Voy,martes,noche,31.961471103327494,5.89184826472962
BUENOS AIRES,martes,noche,31.961471103327494,5.89184826472962
Cabildo y Juramento,miércoles,noche,33.79237288135593,5.149313962873285
Mil Horas,miércoles,noche,33.79237288135593,5.149313962873285
ARGENTINA,miércoles,noche,33.79237288135593,5.149313962873285
TIERRA ZANTA,miércoles,noche,33.79237288135593,5.149313962873285
Ella - Remix,miércoles,noche,33.79237288135593,5.149313962873285
"Fantaisie-Impromptu in C-Sharp Minor, Op. 66",miércoles,noche,33.79237288135593,5.149313962873285
Big Boy,miércoles,noche,33.79237288135593,5.149313962873285
"Fantasie-impromptu in C-Sharp Minor, Op. 66 No. 4",miércoles,noche,33.79237288135593,5.149313962873285
girls,miércoles,noche,33.79237288135593,5.149313962873285
BLIND (feat. Young Thug),miércoles,noche,33.79237288135593,5.149313962873285
What's the Use of Feeling (Blue)? [feat. Patti LuPone & Deedee Magno Hall],miércoles,noche,33.79237288135593,5.149313962873285
